Nama CPU,CPU Mark
AMD Athlon 300U,"3,865"
AMD Athlon 320GE,"4,399"
AMD Athlon 5000 Dual Core,872
AMD Athlon 5150 APU,"1,415"
AMD Athlon 5200 Dual Core,869
AMD Athlon 5350 APU,"1,796"
AMD Athlon 5370 APU,"1,906"
AMD Athlon 64 2000+,154
AMD Athlon 64 2600+,243
AMD Athlon 64 2800+,295
AMD Athlon 64 3000+,342
AMD Athlon 64 3100+,484
AMD Athlon 64 3200+,305
AMD Athlon 64 3300+,375
AMD Athlon 64 3400+,317
AMD Athlon 64 3500+,377
AMD Athlon 64 3700+,394
AMD Athlon 64 3800+,332
AMD Athlon 64 4000+,340
AMD Athlon 64 FX 55,404
AMD Athlon 64 FX 57,517
AMD Athlon 64 FX 59,465
AMD Athlon 64 FX 60 Dual Core,709
AMD Athlon 64 FX 62 Dual Core,993
AMD Athlon 64 FX 74,972
AMD Athlon 64 X2 Dual Core 3400+,531
AMD Athlon 64 X2 Dual Core 3600+,618
AMD Athlon 64 X2 Dual Core 3800+,623
AMD Athlon 64 X2 Dual Core 4000+,698
AMD Athlon 64 X2 Dual Core 4200+,730
AMD Athlon 64 X2 Dual Core 4400+,675
AMD Athlon 64 X2 Dual Core 4600+,720
AMD Athlon 64 X2 Dual Core 4800+,719
AMD Athlon 64 X2 Dual Core 5000+,807
AMD Athlon 64 X2 Dual Core 5200+,858
AMD Athlon 64 X2 Dual Core 5400+,907
AMD Athlon 64 X2 Dual Core 5600+,912
AMD Athlon 64 X2 Dual Core 5800+,653
AMD Athlon 64 X2 Dual Core 6000+,942
AMD Athlon 64 X2 Dual Core 6400+,954
AMD Athlon 64 X2 Dual Core BE 2300,594
AMD Athlon 64 X2 Dual Core BE 2350,573
AMD Athlon 64 X2 Dual Core TK 42,577
AMD Athlon 64 X2 Dual Core TK 53,602
AMD Athlon 64 X2 Dual Core TK 55,518
AMD Athlon 64 X2 Dual Core TK 57,624
AMD Athlon 64 X2 QL 60,651
AMD Athlon 64 X2 QL 62,525
AMD Athlon 64 X2 QL 64,605
AMD Athlon 64 X2 QL 65,664
AMD Athlon 64 X2 QL 66,641
AMD Athlon 64 X2 QL 67,582
AMD Athlon 7450 Dual Core,789
AMD Athlon 7550 Dual Core,977
AMD Athlon 7750 Dual Core,"1,005"
AMD Athlon 7850 Dual Core,"1,058"
AMD Athlon Dual Core 4050e,674
AMD Athlon Dual Core 4450B,723
AMD Athlon Dual Core 4450e,710
AMD Athlon Dual Core 4850B,727
AMD Athlon Dual Core 4850e,799
AMD Athlon Dual Core 5000B,856
AMD Athlon Dual Core 5050e,846
AMD Athlon Dual Core 5200B,823
AMD Athlon Dual Core 5400B,914
AMD Athlon Dual Core 5600B,737
AMD Athlon Gold 3150C,"3,292"
AMD Athlon Gold 3150G,"6,922"
AMD Athlon Gold 3150U,"3,937"
AMD Athlon Gold 7220U,"4,904"
AMD Athlon Gold PRO 3150G,"7,468"
AMD Athlon Gold PRO 3150GE,"7,006"
AMD Athlon Gold PRO 4150GE,"8,259"
AMD Athlon II 160u,358
AMD Athlon II 170u,355
AMD Athlon II Dual Core M300,670
AMD Athlon II Dual Core M320,770
AMD Athlon II Dual Core M340,807
AMD Athlon II N330 Dual Core,665
AMD Athlon II N350 Dual Core,856
AMD Athlon II N370 Dual Core,899
AMD Athlon II Neo K125,315
AMD Athlon II Neo K145,298
AMD Athlon II Neo K325 Dual Core,439
AMD Athlon II Neo K345 Dual Core,527
AMD Athlon II Neo N36L Dual Core,487
AMD Athlon II P320 Dual Core,706
AMD Athlon II P340 Dual Core,722
AMD Athlon II P360 Dual Core,758
AMD Athlon II X2 210e,"1,089"
AMD Athlon II X2 215,"1,011"
AMD Athlon II X2 220,"1,046"
AMD Athlon II X2 235e,"1,079"
AMD Athlon II X2 240,"1,060"
AMD Athlon II X2 240e,"1,007"
AMD Athlon II X2 245,"1,128"
AMD Athlon II X2 245e,"1,141"
AMD Athlon II X2 250,"1,178"
AMD Athlon II X2 250e,"1,202"
AMD Athlon II X2 250u,615
AMD Athlon II X2 255,"1,207"
AMD Athlon II X2 260,"1,245"
AMD Athlon II X2 260u,713
AMD Athlon II X2 265,"1,324"
AMD Athlon II X2 270,"1,333"
AMD Athlon II X2 270u,675
AMD Athlon II X2 280,"1,355"
AMD Athlon II X2 4300e,990
AMD Athlon II X2 4400e,944
AMD Athlon II X2 4450e,587
AMD Athlon II X2 B22,"1,064"
AMD Athlon II X2 B24,"1,124"
AMD Athlon II X2 B26,"1,248"
AMD Athlon II X2 B28,"1,277"
AMD Athlon II X3 400e,"1,320"
AMD Athlon II X3 405e,"1,331"
AMD Athlon II X3 415e,"1,481"
AMD Athlon II X3 420e,"1,557"
AMD Athlon II X3 425,"1,595"
AMD Athlon II X3 435,"1,645"
AMD Athlon II X3 440,"1,734"
AMD Athlon II X3 445,"1,807"
AMD Athlon II X3 450,"1,865"
AMD Athlon II X3 455,"1,938"
AMD Athlon II X3 460,"1,965"
AMD Athlon II X4 553,"2,418"
AMD Athlon II X4 555,"2,526"
AMD Athlon II X4 557,"2,567"
AMD Athlon II X4 559,"2,652"
AMD Athlon II X4 600e,"1,795"
AMD Athlon II X4 605e,"1,964"
AMD Athlon II X4 610e,"1,959"
AMD Athlon II X4 615e,"2,000"
AMD Athlon II X4 620,"2,031"
AMD Athlon II X4 630,"2,175"
AMD Athlon II X4 631 Quad Core,"2,118"
AMD Athlon II X4 635,"2,248"
AMD Athlon II X4 638 Quad Core,"2,260"
AMD Athlon II X4 640,"2,265"
AMD Athlon II X4 641 Quad Core,"2,313"
AMD Athlon II X4 645,"2,370"
AMD Athlon II X4 650,"2,457"
AMD Athlon II X4 651 Quad Core,"2,433"
AMD Athlon II X4 655,"2,078"
AMD Athlon L110,211
AMD Athlon LE 1600,412
AMD Athlon LE 1620,421
AMD Athlon LE 1640,430
AMD Athlon LE 1660,416
AMD Athlon Neo MV 40,281
AMD Athlon Neo X2 Dual Core 6850e,456
