Nama CPU,CPU Mark
AMD Phenom 8750 Triple Core,"1,445"
AMD Phenom 8750B Triple Core,"1,188"
AMD Phenom 8850 Triple Core,"1,142"
AMD Phenom 8850B Triple Core,"1,281"
AMD Phenom 9100e Quad Core,"1,353"
AMD Phenom 9150e Quad Core,"1,427"
AMD Phenom 9350e Quad Core,"1,659"
AMD Phenom 9450e Quad Core,"1,455"
AMD Phenom 9500 Quad Core,"1,564"
AMD Phenom 9550 Quad Core,"1,667"
AMD Phenom 9600 Quad Core,"1,607"
AMD Phenom 9600B Quad Core,"1,842"
AMD Phenom 9650 Quad Core,"1,777"
AMD Phenom 9750 Quad Core,"1,846"
AMD Phenom 9750B Quad Core,"1,520"
AMD Phenom 9850 Quad Core,"1,712"
AMD Phenom 9850B Quad Core,"1,946"
AMD Phenom 9950 Quad Core,"1,884"
AMD Phenom FX 5000 Quad Core,"1,599"
AMD Phenom FX 5200 Quad Core,"1,699"
AMD Phenom II N620 Dual Core,992
AMD Phenom II N640 Dual Core,"1,135"
AMD Phenom II N660 Dual Core,"1,083"
AMD Phenom II N830 3+1,"1,768"
AMD Phenom II N830 Triple Core,"1,249"
AMD Phenom II N850 Triple Core,"1,318"
AMD Phenom II N870 Triple Core,"1,324"
AMD Phenom II N930 Quad Core,"1,584"
AMD Phenom II N950 Quad Core,"1,616"
AMD Phenom II N970 Quad Core,"1,728"
AMD Phenom II P650 Dual Core,"1,018"
AMD Phenom II P820 Triple Core,"1,068"
AMD Phenom II P840 Triple Core,"1,079"
AMD Phenom II P860 Triple Core,"1,250"
AMD Phenom II P920 Quad Core,"1,006"
AMD Phenom II P940 Quad Core,"1,319"
AMD Phenom II P960 Quad Core,"1,431"
AMD Phenom II X2 511,"1,265"
AMD Phenom II X2 521,"1,349"
AMD Phenom II X2 545,"1,233"
AMD Phenom II X2 550,"1,154"
AMD Phenom II X2 555,"1,312"
AMD Phenom II X2 560,"1,381"
AMD Phenom II X2 565,"1,453"
AMD Phenom II X2 570,"1,437"
AMD Phenom II X2 B53,"1,137"
AMD Phenom II X2 B55,"1,222"
AMD Phenom II X2 B57,"1,260"
AMD Phenom II X2 B59,"1,407"
AMD Phenom II X3 700e,"1,451"
AMD Phenom II X3 705e,"1,519"
AMD Phenom II X3 710,"1,597"
AMD Phenom II X3 720,"1,600"
AMD Phenom II X3 740,"1,424"
AMD Phenom II X3 B73,"1,671"
AMD Phenom II X3 B75,"1,783"
AMD Phenom II X3 B77,"1,844"
AMD Phenom II X4 805,"2,001"
AMD Phenom II X4 810,"2,036"
AMD Phenom II X4 820,"2,114"
AMD Phenom II X4 830,"2,072"
AMD Phenom II X4 840,"2,449"
AMD Phenom II X4 840T,"2,367"
AMD Phenom II X4 850,"2,441"
AMD Phenom II X4 900e,"1,727"
AMD Phenom II X4 905e,"2,014"
AMD Phenom II X4 910,"1,776"
AMD Phenom II X4 910e,"2,148"
AMD Phenom II X4 920,"2,202"
AMD Phenom II X4 925,"2,259"
AMD Phenom II X4 940,"2,363"
AMD Phenom II X4 945,"2,421"
AMD Phenom II X4 955,"2,544"
AMD Phenom II X4 960T,"2,353"
AMD Phenom II X4 965,"2,657"
AMD Phenom II X4 970,"2,768"
AMD Phenom II X4 973,"2,204"
AMD Phenom II X4 975,"2,610"
AMD Phenom II X4 977,"2,377"
AMD Phenom II X4 980,"2,839"
AMD Phenom II X4 B05e,"1,906"
AMD Phenom II X4 B15e,"1,825"
AMD Phenom II X4 B25,"2,108"
AMD Phenom II X4 B35,"2,417"
AMD Phenom II X4 B40,"2,238"
AMD Phenom II X4 B45,"2,327"
AMD Phenom II X4 B50,"2,457"
AMD Phenom II X4 B55,"2,594"
AMD Phenom II X4 B60,"2,627"
AMD Phenom II X4 B65,"2,690"
AMD Phenom II X4 B70,"2,303"
AMD Phenom II X4 B93,"2,159"
AMD Phenom II X4 B95,"2,427"
AMD Phenom II X4 B97,"2,540"
AMD Phenom II X4 B99,"2,536"
AMD Phenom II X6 1035T,"3,014"
AMD Phenom II X6 1045T,"3,237"
AMD Phenom II X6 1055T,"3,367"
AMD Phenom II X6 1065T,"3,412"
AMD Phenom II X6 1075T,"3,500"
AMD Phenom II X6 1090T,"3,812"
AMD Phenom II X6 1100T,"3,927"
AMD Phenom II X6 1405T,"3,371"
AMD Phenom II X620 Dual Core,"1,262"
AMD Phenom II X640 Dual Core,"1,165"
AMD Phenom II X920 Quad Core,"1,669"
AMD Phenom II X940 Quad Core,"1,797"
AMD Phenom X2 Dual Core GE 5060,"1,566"
AMD Phenom X2 Dual Core GE 6060,"1,722"
AMD Phenom X2 Dual Core GE 7060,"1,010"
AMD Phenom X2 Dual Core GP 7730,884
AMD Phenom X3 8550,"1,151"
AMD Phenom X4 Quad Core GP 9500,"1,297"
AMD Phenom X4 Quad Core GP 9530,"1,228"
AMD Phenom X4 Quad Core GP 9600,"1,649"
AMD Phenom X4 Quad Core GP 9730,"1,784"
AMD Phenom X4 Quad Core GS 6560,"1,063"
AMD PRO A10 8700B,"2,172"
AMD PRO A10 8730B,"2,306"
AMD PRO A10 8750B,"3,020"
AMD PRO A10 8770,"3,547"
AMD PRO A10 8770E,"3,001"
AMD PRO A10 8850B,"3,752"
AMD PRO A10 9700,"3,600"
AMD PRO A10 9700B,"2,530"
AMD PRO A10 9700E,"3,044"
AMD PRO A12 8800B,"2,667"
AMD PRO A12 8830B,"2,634"
AMD PRO A12 8870,"3,793"
AMD PRO A12 8870E,"3,010"
AMD PRO A12 9800,"3,751"
AMD PRO A12 9800B,"2,718"
AMD PRO A12 9800E,"3,120"
AMD PRO A4 3350B APU,"1,787"
AMD PRO A4 4350B,"1,056"
AMD PRO A4 8350B,"1,690"
AMD PRO A6 7350B,"1,299"
AMD PRO A6 8500B,"1,592"
AMD PRO A6 8530B,"1,158"
AMD PRO A6 8550B,"1,882"
AMD PRO A6 8570,"1,919"
AMD PRO A6 8570E,"1,606"
AMD PRO A6 9500,"1,873"
AMD PRO A6 9500B,"1,357"
AMD PRO A6 9500E,"1,689"
AMD PRO A8 8600B,"2,203"
AMD PRO A8 8650B,"3,227"
AMD PRO A8 8670E,"3,258"
AMD PRO A8 9600,"3,318"
AMD PRO A8 9600B,"2,195"
AMD QC 4000,"1,155"
AMD R 260H APU,954
AMD R 272F APU,"1,215"
AMD R 460L APU,"1,538"
AMD R 464L APU,"1,773"
AMD RX 225FB,892
AMD RX 425BB,"2,637"
AMD RX 427BB,"2,658"
AMD Ryzen 3 1200,"6,260"
AMD Ryzen 3 1300X,"6,923"
AMD Ryzen 3 210,"13,199"
AMD Ryzen 3 2200G,"6,737"
AMD Ryzen 3 2200GE,"5,933"
AMD Ryzen 3 2200U,"3,648"
AMD Ryzen 3 2300U,"5,484"
AMD Ryzen 3 2300X,"7,566"
AMD Ryzen 3 3100,"11,539"
AMD Ryzen 3 3200G,"7,001"
AMD Ryzen 3 3200GE,"7,219"
AMD Ryzen 3 3200U,"3,733"
AMD Ryzen 3 3250C,"3,153"
AMD Ryzen 3 3250U,"3,728"
AMD Ryzen 3 3300U,"5,682"
AMD Ryzen 3 3300X,"12,602"
AMD Ryzen 3 3350U,"5,732"
AMD Ryzen 3 4100,"11,055"
AMD Ryzen 3 4300G,"9,945"
AMD Ryzen 3 4300GE,"11,238"
AMD Ryzen 3 4300U,"7,354"
AMD Ryzen 3 5300G,"13,063"
AMD Ryzen 3 5300GE,"12,856"
AMD Ryzen 3 5300U,"9,464"
AMD Ryzen 3 5400U,"11,002"
AMD Ryzen 3 5425U,"11,261"
AMD Ryzen 3 7320C,"8,193"
AMD Ryzen 3 7320U,"8,633"
AMD Ryzen 3 7330U,"10,676"
AMD Ryzen 3 7335U,"12,568"
AMD Ryzen 3 7440U,"13,100"
AMD Ryzen 3 8300G,"14,110"
AMD Ryzen 3 8300GE,"13,568"
AMD Ryzen 3 8440U,"11,957"
AMD Ryzen 3 PRO 1200,"5,609"
AMD Ryzen 3 PRO 1300,"7,187"
AMD Ryzen 3 PRO 210,"12,155"
AMD Ryzen 3 PRO 2100GE,"4,065"
AMD Ryzen 3 PRO 2200G,"6,668"
AMD Ryzen 3 PRO 2200GE,"5,951"
AMD Ryzen 3 PRO 2300U,"5,640"
AMD Ryzen 3 PRO 3200G,"6,492"
AMD Ryzen 3 PRO 3200GE,"6,807"
AMD Ryzen 3 PRO 3300U,"5,828"
AMD Ryzen 3 PRO 4200G,"10,831"
AMD Ryzen 3 PRO 4200GE,"10,930"
AMD Ryzen 3 PRO 4350G,"10,941"
AMD Ryzen 3 PRO 4350GE,"10,924"
AMD Ryzen 3 PRO 4355GE,"10,559"
AMD Ryzen 3 PRO 4450U,"9,561"
AMD Ryzen 3 PRO 5350G,"13,787"
AMD Ryzen 3 PRO 5350GE,"12,626"
AMD Ryzen 3 PRO 5355G with Radeon Graphics,"14,033"
AMD Ryzen 3 PRO 5355GE,"12,761"
AMD Ryzen 3 PRO 5450U,"10,867"
AMD Ryzen 3 PRO 5475U,"11,059"
AMD Ryzen 3 PRO 7330U,"12,477"
AMD Ryzen 3 PRO 7335U,"12,267"
AMD Ryzen 3 PRO 8300G,"14,540"
AMD Ryzen 3 PRO 8300GE,"14,491"
AMD Ryzen 5 1400,"7,731"
AMD Ryzen 5 1500X,"9,072"
AMD Ryzen 5 1600,"12,262"
AMD Ryzen 5 1600X,"13,013"
AMD Ryzen 5 220,"18,661"
AMD Ryzen 5 230,"20,125"
AMD Ryzen 5 240,"22,656"
AMD Ryzen 5 2400G,"8,730"
AMD Ryzen 5 2400GE,"7,205"
AMD Ryzen 5 2500U,"6,496"
AMD Ryzen 5 2500X,"9,388"
AMD Ryzen 5 2600,"13,148"
AMD Ryzen 5 2600E,"12,346"
AMD Ryzen 5 2600H,"8,002"
AMD Ryzen 5 2600X,"13,880"
AMD Ryzen 5 3350G,"8,924"
AMD Ryzen 5 3350GE,"9,049"
AMD Ryzen 5 3400G,"9,202"
AMD Ryzen 5 3400GE,"8,825"
AMD Ryzen 5 3450U,"6,574"
AMD Ryzen 5 3500,"12,777"
AMD Ryzen 5 3500C,"5,585"
AMD Ryzen 5 3500U,"6,843"
AMD Ryzen 5 3500X,"13,161"
AMD Ryzen 5 3550H,"7,703"
AMD Ryzen 5 3550U,"7,681"
AMD Ryzen 5 3580U,"7,107"
AMD Ryzen 5 3580U with Radeon Vega Mobile Gfx,"8,491"
AMD Ryzen 5 3600,"17,687"
AMD Ryzen 5 3600X,"18,136"
AMD Ryzen 5 3600XT,"18,554"
AMD Ryzen 5 4400G,"17,160"
AMD Ryzen 5 4500,"16,073"
AMD Ryzen 5 4500U,"10,706"
AMD Ryzen 5 4600G,"15,997"
AMD Ryzen 5 4600GE,"15,889"
AMD Ryzen 5 4600H,"14,192"
AMD Ryzen 5 4600HS,"14,325"
AMD Ryzen 5 4600U,"13,047"
AMD Ryzen 5 5500,"19,315"
AMD Ryzen 5 5500GT,"18,819"
AMD Ryzen 5 5500H,"11,445"
AMD Ryzen 5 5500U,"12,756"
AMD Ryzen 5 5500X3D,"20,135"
AMD Ryzen 5 5560U,"15,201"
AMD Ryzen 5 5600,"21,548"
AMD Ryzen 5 5600F,"19,833"
AMD Ryzen 5 5600G,"19,698"
AMD Ryzen 5 5600GE,"18,023"
AMD Ryzen 5 5600GT,"20,317"
AMD Ryzen 5 5600H,"16,560"
AMD Ryzen 5 5600T,"21,990"
AMD Ryzen 5 5600U,"15,125"
AMD Ryzen 5 5600X,"21,848"
AMD Ryzen 5 5600X3D,"21,928"
AMD Ryzen 5 5600XT,"22,309"
AMD Ryzen 5 5625U,"14,718"
AMD Ryzen 5 6600H,"18,597"
AMD Ryzen 5 6600HS Creator Edition,"17,605"
AMD Ryzen 5 6600U,"17,014"
AMD Ryzen 5 7235HS,"12,375"
AMD Ryzen 5 7400,"22,010"
AMD Ryzen 5 7400F,"25,509"
AMD Ryzen 5 7430U,"16,171"
AMD Ryzen 5 7500F,"26,739"
AMD Ryzen 5 7520C,"8,104"
AMD Ryzen 5 7520U,"9,060"
AMD Ryzen 5 7530U,"15,396"
AMD Ryzen 5 7533HS,"15,466"
AMD Ryzen 5 7535H,"18,832"
AMD Ryzen 5 7535HS,"17,872"
AMD Ryzen 5 7535U,"16,974"
AMD Ryzen 5 7540U,"18,598"
AMD Ryzen 5 7545U,"20,274"
AMD Ryzen 5 7600,"27,017"
AMD Ryzen 5 7600X,"28,325"
AMD Ryzen 5 7600X3D,"25,707"
AMD Ryzen 5 7640HS,"22,932"
AMD Ryzen 5 7640U,"21,035"
AMD Ryzen 5 7645HX,"26,097"
AMD Ryzen 5 8400F,"24,567"
AMD Ryzen 5 8500G,"21,499"
AMD Ryzen 5 8500GE,"21,159"
AMD Ryzen 5 8540U,"18,340"
AMD Ryzen 5 8600G,"25,259"
AMD Ryzen 5 8640HS,"19,810"
AMD Ryzen 5 8640U,"20,382"
AMD Ryzen 5 8645HS,"22,300"
AMD Ryzen 5 9600,"28,922"
AMD Ryzen 5 9600X,"29,989"
AMD Ryzen 5 Microsoft Surface Edition,"7,243"
AMD Ryzen 5 PRO 1500,"9,136"
AMD Ryzen 5 PRO 1600,"11,924"
AMD Ryzen 5 PRO 215,"18,032"
AMD Ryzen 5 PRO 220,"19,889"
AMD Ryzen 5 PRO 230,"19,898"
AMD Ryzen 5 PRO 2400G,"8,545"
AMD Ryzen 5 PRO 2400GE,"7,784"
AMD Ryzen 5 PRO 2500U,"6,596"
AMD Ryzen 5 PRO 2600,"13,330"
AMD Ryzen 5 PRO 3350G,"9,125"
AMD Ryzen 5 PRO 3350GE,"9,643"
AMD Ryzen 5 PRO 3400G,"9,054"
AMD Ryzen 5 PRO 3400GE,"7,675"
AMD Ryzen 5 PRO 3500U,"6,922"
AMD Ryzen 5 PRO 3600,"17,197"
AMD Ryzen 5 PRO 4400G,"16,401"
AMD Ryzen 5 PRO 4400GE,"14,795"
AMD Ryzen 5 PRO 4500U,"12,117"
AMD Ryzen 5 PRO 4650G,"16,070"
AMD Ryzen 5 PRO 4650GE,"15,316"
AMD Ryzen 5 PRO 4650U,"12,112"
AMD Ryzen 5 PRO 4655G,"16,280"
AMD Ryzen 5 PRO 4655GE,"14,015"
AMD Ryzen 5 PRO 5645,"21,904"
AMD Ryzen 5 PRO 5650G,"20,478"
AMD Ryzen 5 PRO 5650GE,"18,155"
AMD Ryzen 5 PRO 5650U,"14,312"
AMD Ryzen 5 PRO 5655G,"19,691"
AMD Ryzen 5 PRO 5655GE,"18,169"
AMD Ryzen 5 PRO 5675U,"14,298"
AMD Ryzen 5 PRO 6650H,"18,047"
AMD Ryzen 5 PRO 6650U,"16,315"
AMD Ryzen 5 PRO 7445,"22,310"
AMD Ryzen 5 PRO 7530U,"14,066"
AMD Ryzen 5 Pro 7535U,"16,281"
AMD Ryzen 5 PRO 7540U,"17,463"
AMD Ryzen 5 PRO 7545U,"19,366"
AMD Ryzen 5 PRO 7640HS,"22,144"
AMD Ryzen 5 PRO 7640U,"21,287"
AMD Ryzen 5 PRO 7645,"27,565"
AMD Ryzen 5 PRO 8500G,"22,008"
AMD Ryzen 5 PRO 8500GE,"21,558"
AMD Ryzen 5 PRO 8540U,"18,235"
AMD Ryzen 5 PRO 8600G,"25,071"
AMD Ryzen 5 PRO 8600GE,"23,765"
AMD Ryzen 5 PRO 8640HS,"21,391"
AMD Ryzen 5 PRO 8640U,"22,844"
AMD Ryzen 5 PRO 8645HS,"23,227"
AMD Ryzen 7 1700,"14,783"
AMD Ryzen 7 1700X,"15,623"
AMD Ryzen 7 1800X,"16,307"
AMD Ryzen 7 250,"25,604"
AMD Ryzen 7 255,"30,067"
AMD Ryzen 7 260,"28,659"
AMD Ryzen 7 2700,"15,640"
AMD Ryzen 7 2700E,"14,657"
AMD Ryzen 7 2700U,"6,852"
AMD Ryzen 7 2700X,"17,454"
AMD Ryzen 7 2800H,"8,170"
AMD Ryzen 7 3700C,"6,714"
AMD Ryzen 7 3700U,"7,049"
AMD Ryzen 7 3700X,"22,437"
AMD Ryzen 7 3750H,"7,992"
AMD Ryzen 7 3780U,"7,434"
AMD Ryzen 7 3800X,"23,013"
AMD Ryzen 7 3800XT,"23,442"
AMD Ryzen 7 4700G,"20,175"
AMD Ryzen 7 4700GE,"19,674"
AMD Ryzen 7 4700U,"13,174"
AMD Ryzen 7 4800H,"18,106"
AMD Ryzen 7 4800HS,"18,018"
AMD Ryzen 7 4800U,"16,440"
AMD Ryzen 7 4850U Mobile,"17,110"
AMD Ryzen 7 4980U Microsoft Surface Edition,"17,469"
AMD Ryzen 7 5700,"24,340"
AMD Ryzen 7 5700G,"24,369"
AMD Ryzen 7 5700GE,"21,484"
AMD Ryzen 7 5700U,"15,516"
AMD Ryzen 7 5700X,"26,609"
AMD Ryzen 7 5700X3D,"26,300"
AMD Ryzen 7 5800,"25,740"
AMD Ryzen 7 5800H,"20,703"
AMD Ryzen 7 5800HS,"19,548"
AMD Ryzen 7 5800HS Creator Edition,"18,092"
AMD Ryzen 7 5800U,"18,075"
AMD Ryzen 7 5800X,"27,715"
AMD Ryzen 7 5800X3D,"28,303"
AMD Ryzen 7 5800XT,"27,999"
AMD Ryzen 7 5825C,"14,561"
AMD Ryzen 7 5825U,"18,056"
AMD Ryzen 7 6800H,"22,951"
AMD Ryzen 7 6800HS,"22,697"
AMD Ryzen 7 6800HS Creator Edition,"21,470"
AMD Ryzen 7 6800U,"20,572"
AMD Ryzen 7 6810U,"22,741"
AMD Ryzen 7 7435H,"22,954"
AMD Ryzen 7 7435HS,"23,178"
AMD Ryzen 7 7445HS,"19,017"
AMD Ryzen 7 7700,"34,381"
AMD Ryzen 7 7700X,"35,613"
AMD Ryzen 7 7730U,"17,806"
AMD Ryzen 7 7735H,"23,598"
AMD Ryzen 7 7735HS,"22,941"
AMD Ryzen 7 7735U,"20,551"
AMD Ryzen 7 7736U,"21,696"
AMD Ryzen 7 7745HX,"32,528"
AMD Ryzen 7 7800X3D,"34,291"
AMD Ryzen 7 7840H,"27,827"
AMD Ryzen 7 7840HS,"28,567"
AMD Ryzen 7 7840HX,"42,758"
AMD Ryzen 7 7840S,"23,344"
AMD Ryzen 7 7840U,"24,629"
AMD Ryzen 7 8700F,"31,327"
AMD Ryzen 7 8700G,"31,645"
AMD Ryzen 7 8745H,"29,654"
AMD Ryzen 7 8745HS,"29,141"
AMD Ryzen 7 8745HX,"32,216"
AMD Ryzen 7 8840HS,"25,142"
AMD Ryzen 7 8840HX,"45,268"
AMD Ryzen 7 8840U,"23,390"
AMD Ryzen 7 8845H,"26,975"
AMD Ryzen 7 8845HS,"28,477"
AMD Ryzen 7 9700X,"37,148"
AMD Ryzen 7 9800X3D,"39,982"
AMD Ryzen 7 Extreme Edition,"16,224"
AMD Ryzen 7 H 250,"19,730"
AMD Ryzen 7 H 255,"26,178"
AMD Ryzen 7 H 260,"29,385"
AMD Ryzen 7 PRO 1700,"14,699"
AMD Ryzen 7 PRO 1700X,"15,619"
AMD Ryzen 7 PRO 250,"21,699"
AMD Ryzen 7 PRO 2700,"15,342"
AMD Ryzen 7 PRO 2700U,"7,000"
AMD Ryzen 7 PRO 2700X,"16,959"
AMD Ryzen 7 PRO 3700,"22,792"
AMD Ryzen 7 PRO 3700U,"7,226"
AMD Ryzen 7 PRO 4700G,"19,715"
AMD Ryzen 7 PRO 4750G,"20,226"
AMD Ryzen 7 PRO 4750GE,"18,395"
AMD Ryzen 7 PRO 4750U,"14,802"
AMD Ryzen 7 PRO 5750G,"23,999"
AMD Ryzen 7 PRO 5750GE,"21,088"
AMD Ryzen 7 PRO 5755G,"24,216"
AMD Ryzen 7 PRO 5755GE,"20,870"
AMD Ryzen 7 PRO 5800H,"19,461"
AMD Ryzen 7 PRO 5845,"26,054"
AMD Ryzen 7 PRO 5850U,"16,808"
AMD Ryzen 7 PRO 5875U,"16,657"
AMD Ryzen 7 PRO 6850H,"23,485"
AMD Ryzen 7 PRO 6850HS,"22,322"
AMD Ryzen 7 PRO 6850U,"20,630"
AMD Ryzen 7 PRO 6860Z,"20,084"
AMD Ryzen 7 PRO 7730U,"18,178"
AMD Ryzen 7 Pro 7735U,"18,537"
AMD Ryzen 7 PRO 7745,"34,827"
AMD Ryzen 7 PRO 7840HS,"26,893"
AMD Ryzen 7 PRO 7840U,"24,569"
AMD Ryzen 7 PRO 8700G,"31,004"
AMD Ryzen 7 PRO 8700GE,"28,296"
AMD Ryzen 7 PRO 8840H,"27,994"
AMD Ryzen 7 PRO 8840HS,"26,860"
AMD Ryzen 7 PRO 8840U,"23,947"
AMD Ryzen 7 PRO 8845HS,"29,084"
AMD Ryzen 9 270,"29,567"
AMD Ryzen 9 3900,"30,604"
AMD Ryzen 9 3900X,"32,524"
AMD Ryzen 9 3900XT,"32,521"
AMD Ryzen 9 3950X,"38,530"
AMD Ryzen 9 4900H,"18,921"
AMD Ryzen 9 4900HS,"18,802"
AMD Ryzen 9 4950U Mobile,"16,290"
AMD Ryzen 9 5900,"33,915"
AMD Ryzen 9 5900H,"13,510"
AMD Ryzen 9 5900HS,"21,241"
AMD Ryzen 9 5900HS Creator Edition,"18,747"
AMD Ryzen 9 5900HX,"22,215"
AMD Ryzen 9 5900X,"38,961"
AMD Ryzen 9 5900XT,"44,152"
AMD Ryzen 9 5950X,"45,364"
AMD Ryzen 9 5980HS,"20,257"
AMD Ryzen 9 5980HX,"23,272"
AMD Ryzen 9 6900HS,"23,075"
AMD Ryzen 9 6900HS Creator Edition,"21,224"
AMD Ryzen 9 6900HX,"24,265"
AMD Ryzen 9 7845HX,"44,920"
AMD Ryzen 9 7900,"48,206"
AMD Ryzen 9 7900X,"51,343"
AMD Ryzen 9 7900X3D,"50,232"
AMD Ryzen 9 7940H,"29,063"
AMD Ryzen 9 7940HS,"29,984"
AMD Ryzen 9 7940HX,"53,645"
AMD Ryzen 9 7945HX,"54,445"
AMD Ryzen 9 7945HX3D,"57,721"
AMD Ryzen 9 7950X,"62,356"
AMD Ryzen 9 7950X3D,"62,345"
AMD Ryzen 9 8940HX,"51,324"
AMD Ryzen 9 8945H,"30,338"
AMD Ryzen 9 8945HS,"29,605"
AMD Ryzen 9 8945HX,"52,679"
AMD Ryzen 9 9850HX,"51,665"
AMD Ryzen 9 9900X,"54,581"
AMD Ryzen 9 9900X3D,"56,243"
AMD Ryzen 9 9950X,"65,888"
AMD Ryzen 9 9950X3D,"70,194"
AMD Ryzen 9 9955HX,"56,005"
AMD Ryzen 9 9955HX3D,"61,389"
AMD Ryzen 9 PRO 3900,"31,256"
AMD Ryzen 9 PRO 5945,"34,549"
AMD Ryzen 9 PRO 6950H,"23,810"
AMD Ryzen 9 PRO 6950HS,"22,811"
AMD Ryzen 9 PRO 7940HS,"27,443"
AMD Ryzen 9 PRO 7945,"46,769"
AMD Ryzen 9 PRO 8945HS,"30,465"
AMD Ryzen 9 PRO 9945,"50,113"
AMD Ryzen AI 5 330,"13,814"
AMD Ryzen AI 5 330 w/ Radeon 890M,"13,845"
AMD Ryzen AI 5 340,"19,754"
AMD Ryzen AI 5 PRO 340,"19,406"
AMD Ryzen AI 7 350,"24,876"
AMD Ryzen AI 7 H 350,"26,637"
AMD Ryzen AI 7 PRO 350,"24,070"
AMD Ryzen AI 7 PRO 360,"22,126"
AMD Ryzen AI 9 365,"30,043"
AMD Ryzen AI 9 H 365,"29,245"
AMD Ryzen AI 9 HX 370,"35,168"
AMD Ryzen AI 9 HX 375,"34,527"
AMD Ryzen AI 9 HX PRO 370,"32,960"
AMD Ryzen AI 9 HX PRO 375,"33,591"
AMD Ryzen AI Max 385,"32,274"
AMD Ryzen AI Max 390,"42,055"
AMD Ryzen AI Max Pro 380,"24,613"
AMD Ryzen AI Max Pro 385,"30,849"
AMD Ryzen AI Max Pro 390,"43,208"
AMD RYZEN AI MAX+ 388,"31,702"
AMD Ryzen AI Max+ 395,"54,512"
AMD Ryzen AI Max+ Pro 395,"51,805"
AMD Ryzen AI Z2 Extreme,"22,981"
AMD Ryzen Embedded R1305G,"3,142"
AMD Ryzen Embedded R1505G,"3,791"
AMD Ryzen Embedded R1600,"3,276"
AMD Ryzen Embedded R1606G,"4,162"
AMD Ryzen Embedded R2312,"3,952"
AMD Ryzen Embedded R2314,"5,864"
AMD Ryzen Embedded R2514,"6,731"
AMD Ryzen Embedded R2544,"8,486"
AMD Ryzen Embedded V1202B,"3,512"
AMD Ryzen Embedded V1404I,"6,007"
AMD Ryzen Embedded V1500B,"4,513"
AMD Ryzen Embedded V1605B,"6,712"
AMD Ryzen Embedded V1756B,"8,043"
AMD Ryzen Embedded V1780B,"7,800"
AMD Ryzen Embedded V1807B,"8,042"
AMD Ryzen Embedded V1807F,"7,775"
AMD Ryzen Embedded V2516,"13,329"
AMD Ryzen Embedded V2546,"10,912"
AMD Ryzen Embedded V2718,"15,831"
AMD Ryzen Embedded V2748,"18,434"
AMD Ryzen Embedded V2A46,"4,999"
AMD Ryzen Embedded V3C14,"11,882"
AMD Ryzen Embedded V3C18I,"13,856"
AMD Ryzen Embedded V3C48,"20,203"
AMD Ryzen Threadripper 1900X,"16,825"
AMD Ryzen Threadripper 1920,"22,066"
AMD Ryzen Threadripper 1920X,"23,155"
AMD Ryzen Threadripper 1950X,"27,496"
AMD Ryzen Threadripper 2920X,"25,143"
AMD Ryzen Threadripper 2950X,"29,461"
AMD Ryzen Threadripper 2970WX,"30,954"
AMD Ryzen Threadripper 2990WX,"32,112"
AMD Ryzen Threadripper 2990X,"25,874"
AMD Ryzen Threadripper 3960X,"54,775"
AMD Ryzen Threadripper 3970X,"62,994"
AMD Ryzen Threadripper 3990X,"79,825"
AMD Ryzen Threadripper 7960X,"83,551"
AMD Ryzen Threadripper 7970X,"99,183"
AMD Ryzen Threadripper 7980X,"135,927"
AMD Ryzen Threadripper 9960X 24 Cores,"92,436"
AMD Ryzen Threadripper 9970X,"108,331"
AMD Ryzen Threadripper 9980X,"141,034"
AMD Ryzen Threadripper PRO 3945WX,"33,432"
AMD Ryzen Threadripper PRO 3955WX,"40,024"
AMD Ryzen Threadripper PRO 3975WX,"62,206"
AMD Ryzen Threadripper PRO 3995WX,"83,798"
AMD Ryzen Threadripper PRO 5945WX,"40,143"
AMD Ryzen Threadripper PRO 5955WX,"48,674"
AMD Ryzen Threadripper PRO 5965WX,"66,614"
AMD Ryzen Threadripper PRO 5975WX,"75,041"
AMD Ryzen Threadripper PRO 5995WX,"94,752"
AMD Ryzen Threadripper PRO 7945WX,"49,718"
AMD Ryzen Threadripper PRO 7955WX,"60,014"
AMD Ryzen Threadripper PRO 7965WX,"82,383"
AMD Ryzen Threadripper PRO 7975WX,"96,101"
AMD Ryzen Threadripper PRO 7985WX,"132,833"
AMD Ryzen Threadripper PRO 7995WX,"143,872"
AMD Ryzen Threadripper PRO 9945WX,"56,854"
AMD Ryzen Threadripper PRO 9955WX,"67,734"
AMD Ryzen Threadripper PRO 9965WX,"94,052"
AMD Ryzen Threadripper PRO 9975WX,"107,049"
AMD Ryzen Threadripper PRO 9985WX,"153,889"
AMD Ryzen Threadripper PRO 9995WX,"176,694"
AMD Ryzen Z1,"18,406"
AMD Ryzen Z1 Extreme,"24,713"
AMD Ryzen Z2 A,"10,557"
AMD Ryzen Z2 Extreme,"24,177"
AMD Ryzen Z2 Go,"12,270"
AMD Sempron 130,511
AMD Sempron 140,511
AMD Sempron 145,540
AMD Sempron 150,597
AMD Sempron 200U,125
AMD Sempron 210U,267
AMD Sempron 2200+,184
AMD Sempron 2300+,207
AMD Sempron 240,"1,278"
AMD Sempron 2400+,205
AMD Sempron 2500+,207
AMD Sempron 2600+,253
AMD Sempron 2650 APU,522
AMD Sempron 2800+,243
AMD Sempron 3000+,299
AMD Sempron 3100+,298
AMD Sempron 3200+,251
